doi,title,firstauthor,authors,publisher,journal,published_year,published_date,abstract,url,affiliationtw,correspondingtw,or1,or2,or3,or5,nor1,nor2,nor3,legend,mic1,mic2,mic3,odb
10.1016/j.jseaes.2017.12.010,New gravity anomaly map of Taiwan and its surrounding regions with some tectonic interpretations,Wen-Bin Doo,"Wen-Bin Doo, Chung-Liang Lo, Shu-Kun Hsu, Ching-Hui Tsai, Yin-Sheng Huang, Hsueh-Fen Wang, Shye-Donq Chiu, Yu-Fang Ma, Chin-Wei Liang",Elsevier BV,Journal of Asian Earth Sciences,2018,2018-4,,https://doi.org/10.1016/j.jseaes.2017.12.010,中央大學環境研究中心,杜文斌,True,False,False,False,False,False,False,False,False,False,False,False
10.1016/j.pocean.2017.06.009,"Particle dynamics of the surface, intermediate, and benthic nepheloid layers under contrasting conditions of summer monsoon and typhoon winds on the boundary between the Taiwan Strait and East China Sea",Xiaoqin Du,"Xiaoqin Du, James T. Liu",Elsevier BV,Progress in Oceanography,2017,2017-8,,https://doi.org/10.1016/j.pocean.2017.06.009,中山大學,劉祖乾,False,True,False,False,False,False,False,False,False,False,False,False
10.3319/tao.2019.02.15.01,A deep-towed magnetic survey in the southern Okinawa Trough: Implications for hydrothermal system detection,Wen-Bin Doo,"Wen-Bin Doo, Shu-Kun Hsu, Hsueh-Fen Wang, Yin-Sheng Huang, Ching-Hui Tsai, Chung-Liang Lo, Shiao-Shan Lin, Chin-Wei Liang, Yi-Jung Lin",Springer Science and Business Media LLC,Terr. Atmos. Ocean. Sci.,2019,2019,,https://doi.org/10.3319/tao.2019.02.15.01,中央大學環境研究中心,杜文斌,True,False,False,False,False,False,False,False,False,False,False,False
10.1016/j.margeo.2021.106657,Coupling between physical processes and biogeochemistry of suspended particles over the inner shelf mud in the East China Sea,James T. Liu,"James T. Liu, Jay Lee, Rick J. Yang, Xiaoqin Du, Anchun Li, Yu-Shih Lin, Chih-Chieh Su, Shuqin Tao",Elsevier BV,Marine Geology,2021,2021-12,,https://doi.org/10.1016/j.margeo.2021.106657,中山大學,劉祖乾,True,False,False,True,False,False,False,False,False,False,False,False
10.3389/fmars.2020.565952,Intrusion of Kuroshio Helps to Diminish Coastal Hypoxia in the Coast of Northern South China Sea,Hon-Kit Lui,"Hon-Kit Lui, Chen-Tung Arthur Chen, Wei-Ping Hou, Jian-Ming Liau, Wen-Chen Chou, You-Lin Wang, Chau-Ron Wu, Jay Lee, Yi-Chia Hsin, Yan-Yu Choi",Frontiers Media SA,Front. Mar. Sci.,2020,2020-10-8,,https://doi.org/10.3389/fmars.2020.565952,國立中山大學,雷漢杰,True,False,True,False,False,False,False,True,False,False,False,True
10.3389/fmars.2021.732017,Diel to Seasonal Variation of Picoplankton in the Tropical South China Sea,Tzong-Yueh Chen,"Tzong-Yueh Chen, Chao-Chen Lai, Jen-Hua Tai, Chia-Ying Ko, Fuh-Kwo Shiah",Frontiers Media SA,Front. Mar. Sci.,2021,2021-10-21,"Eight diel surveys on picoplankton (Prochlorococcus, Synechococcus, picoeukaryotes, and heterotrophic bacteria) abundance at the South East Asian Time-Series Station (SEATS; 18°N; 116°E) were conducted during the period of 2010 to 2014. The results indicated that Prochlorococcus and picoeukaryotes showed a subsurface maximum in warm seasons (spring, summer, and fall) and were abundant at the surface in the cold season (winter). Synechococcus and heterotrophic bacteria exhibited higher cell numbers at the surface and decreased with depth throughout the year. Although not all, some clear diel patterns for picoplankton were observed. Picophytoplankton usually peaked in the nighttime; picoeukaryotes peaked at ~7 to 8 p.m., followed by Synechococcus (peaking at 1 a.m.) and Prochlorococcus (peaking at 2 a.m.). Unlike these picoautotrophs, heterotrophic bacteria could peak either at dusk (i.e., 7 p.m.) or at noon. Seasonally, Prochlorococcus was more abundant in the warm than the cold seasons, while Synechococcus and picoeukaryotes showed blooms in the winter of 2013 and 2011, respectively. Heterotrophic bacteria showed no significant seasonality. Regression analysis indicated that ~73% of the diel-to-seasonal variation of the euphotic zone depth-integrated picophytoplankton biomass (i.e., PicoBeu) could be explained by the changes of the mixed-layer depth (MLD), and this suggested that inorganic nutrient supply could be the major controlling factor in their growth. The strong linear relationship (coefficient of determination, R2 of 0.83, p &amp;lt; 0.01) between sea surface temperature (SST) and PicoBeu implied, for the first time, a potential of using satellite-based SST to trace the biomass of picophytoplankton in the pelagic areas of the northern South China Sea.",https://doi.org/10.3389/fmars.2021.732017,中研院 環變中心,夏復國,True,False,False,False,False,False,False,False,False,False,False,False
10.1111/jeu.12521,Evaluation of the Relationship Between the 18S rRNA/rDNA Ratio and Population Growth in the Marine Diatom Skeletonema tropicum via the Application of an Exogenous Nucleic Acid Standard,Yun‐Chi Lin,"Yun‐Chi Lin, Lee‐Kuo Kang, Chi‐Yu Shih, Gwo‐Ching Gong, Jeng Chang",Wiley,J Eukaryotic Microbiology,2018,2018-11,"Ribosomal RNA (rRNA) has been regarded as a proxy for metabolic activity and population growth in microbes, but the limitations and assumptions of this approach should be better defined, particularly in eukaryotic microalgae. In this study, the 18S rRNA/rDNA ratio of a marine diatom, Skeletonema tropicum, was examined in batch and semi‐continuous cultures subjected to low nitrogen and phosphorus treatments at a temperature of 20 °C. In the semi‐continuous cultures, the measured 18S rRNA/rDNA ratio ranged from 4.0 × 102 to 5.0 × 103, and the logarithmic form of this ratio increased linearly with the population growth rate under both low nitrogen and low phosphorus conditions. In batch cultures grown under low nitrogen or low phosphorus conditions, log (rRNA/rDNA) also increased linearly with growth rate when the latter ranged between −0.4 and 1.5 day−1. The 18S rRNA/rDNA ratios of Skeletonema sampled from in the southern East China Sea were substantially lower than measured from laboratory cultures. Among the field samples, ratios obtained at a coastal station were higher than those obtained farther offshore. These results imply higher growth rate at the coastal station, but the influences of other factors, such as cell size and temperature, cannot be ruled out.",https://doi.org/10.1111/jeu.12521,海洋大學環態所,林芸琪,False,True,False,False,False,False,False,False,False,False,False,False
10.1111/jeu.12370,"Community Composition of Photosynthetic Picoeukaryotes in a Subtropical Coastal Ecosystem, with Particular Emphasis on Micromonas",Yun‐Chi Lin,"Yun‐Chi Lin, Chih‐Ching Chung, Liang‐Yin Chen, Gwo‐Ching Gong, Chin‐Yi Huang, Kuo‐Ping Chiang",Wiley,J Eukaryotic Microbiology,2017,2017-5,"Photosynthetic picoeukaryotes (PPEs) are important constituents in picoplankton communities in many marine ecosystems. However, little is known about their community composition in the subtropical coastal waters of the Northwestern Pacific Ocean. In order to study their taxonomic composition, this study constructed 18S rRNA gene libraries using flow cytometric sorting during the warm season. The results show that, after diatoms, prasinophyte clones are numerically dominant. Within prasinophytes, Micromonas produced the most common sequences, and included clades II, III, IV, and VI. We are establishing the new Micromonas clade VI based on our phylogenetic analysis. Sequences of this clade have previously been retrieved from the South China Sea and Red Sea, indicating a worldwide distribution, but this is the first study to detect clade VI in the coastal waters of Taiwan. The TSA‐FISH results indicated that Micromonas clade VI peaked in the summer (~4 × 102 cells/ml), accounting for one‐fifth of Micromonas abundance on average. Overall, Micromonas contributed half of Mamiellophyceae abundance, while Mamiellophyceae contributed 40% of PPE abundance. This study demonstrates the importance of Micromonas within the Mamiellophyceae in a subtropical coastal ecosystem.",https://doi.org/10.1111/jeu.12370,海洋大學環態所,林芸琪,False,True,False,False,False,False,False,False,False,False,False,False
10.3389/fmars.2021.735242,Land-Ocean Interaction Affected by the Monsoon Regime Change in Western Taiwan Strait,Rick J. Yang,"Rick J. Yang, James T. Liu, Chih-Chieh Su, Yi Chang, Jimmy J. Xu, Hon-Kit Lui",Frontiers Media SA,Front. Mar. Sci.,2021,2021-10-28,"The Taiwan Strait is a conduit between East China Sea (ECS) and South China Sea (SCS). Seasonal monsoon winds drive the southbound Zhejiang-Fujian Coastal Current and northbound SCS Warm Current through the strait. Water masses carried by these major current systems also carry fluvial signals from two major rivers, the Changjiang (Yangtze) River in ECS and the Zhujiang (Pearl) River in SCS through the strait. Here we show a switch occurred to signify the monsoon regime change on the western side of this conduit around 10:00 on May 8, 2015. Our data came from water mass properties and environmental proxies of N/P ratio in the surface water and 7Be and 210Pbex isotopes in surface sediments. The timings of the demarcation were identical in the water column and on the water-sediment interface. Our findings put a specific time point in the monsoon regime change in 2015.",https://doi.org/10.3389/fmars.2021.735242,中山大學,劉祖乾,False,False,True,False,False,False,False,False,False,False,False,False
10.1038/s41598-018-22696-w,A comprehensive sediment dynamics study of a major mud belt system on the inner shelf along an energetic coast,James T. Liu,"James T. Liu, Ray T. Hsu, Rick J. Yang, Ya Ping Wang, Hui Wu, Xiaoqin Du, Anchun Li, Steven C. Chien, Jay Lee, Shouye Yang, Jianrong Zhu, Chih-Chieh Su, Yi Chang, Chih-An Huh",Springer Science and Business Media LLC,Sci Rep,2018,2018-3-9,"Globally mud areas on continental shelves are conduits for the dispersal of fluvial-sourced sediment. We address fundamental issues in sediment dynamics focusing on how mud is retained on the seabed on shallow inner shelves and what are the sources of mud. Through a process-based comprehensive study that integrates dynamics, provenance, and sedimentology, here we show that the key mechanism to keep mud on the seabed is the water-column stratification that forms a dynamic barrier in the vertical that restricts the upward mixing of suspended sediment. We studied the 1000 km-long mud belt that extends from the mouth of the Changjiang (Yangtze) River along the coast of Zhejiang and Fujian Provinces of China and ends on the west coast of Taiwan. This mud belt system is dynamically attached to the fluvial sources, of which the Changjiang River is the primary source. Winter is the constructive phase when active deposition takes place of fine-grained sediment carried mainly by the Changjiang plume driven by Zhe-Min Coastal Currents southwestward along the coast.",https://doi.org/10.1038/s41598-018-22696-w,中山大學,劉祖乾,False,False,False,True,False,False,False,False,False,False,False,False
